customer_id,Final_Cluster
48086,Fishermen
31838,Fishermen
41519,Fishermen
41076,Fishermen
43120,Fishermen
3647,Fishermen
29825,Fishermen
637,Fishermen
22356,Fishermen
25919,Fishermen
17763,Fishermen
6153,Fishermen
5019,Fishermen
42855,Fishermen
8293,Fishermen
44757,Fishermen
16529,Fishermen
26391,Fishermen
5083,Fishermen
42629,Fishermen
26035,Fishermen
47595,Fishermen
22053,Fishermen
16094,Fishermen
46523,Fishermen
23080,Fishermen
245,Fishermen
14162,Fishermen
11748,Fishermen
23002,Fishermen
3245,Fishermen
13523,Fishermen
11050,Fishermen
25588,Fishermen
42497,Fishermen
29680,Fishermen
36602,Fishermen
8298,Fishermen
31988,Fishermen
11437,Fishermen
47564,Fishermen
17748,Fishermen
11905,Fishermen
42139,Fishermen
5890,Fishermen
3000,Fishermen
9961,Fishermen
42506,Fishermen
29135,Fishermen
32674,Fishermen
40895,Fishermen
45796,Fishermen
25215,Fishermen
37816,Fishermen
35641,Fishermen
41726,Fishermen
859,Fishermen
43126,Fishermen
22832,Fishermen
17836,Fishermen
37310,Fishermen
1830,Fishermen
45447,Fishermen
21725,Fishermen
1483,Fishermen
25563,Fishermen
10023,Fishermen
13739,Fishermen
1850,Fishermen
49919,Fishermen
41010,Fishermen
43610,Fishermen
3759,Fishermen
4830,Fishermen
42300,Fishermen
23479,Fishermen
16698,Fishermen
30367,Fishermen
7208,Fishermen
5534,Fishermen
12463,Fishermen
49660,Fishermen
3353,Fishermen
3096,Fishermen
12890,Fishermen
39383,Fishermen
29655,Fishermen
4217,Fishermen
32141,Fishermen
40404,Fishermen
31173,Fishermen
25035,Fishermen
33620,Fishermen
10518,Fishermen
3830,Fishermen
21068,Fishermen
985,Fishermen
21480,Fishermen
38870,Fishermen
8979,Fishermen
8642,Fishermen
30310,Fishermen
31250,Fishermen
3409,Fishermen
8527,Fishermen
3090,Fishermen
8107,Fishermen
43171,Fishermen
20811,Fishermen
36116,Fishermen
28839,Fishermen
45830,Fishermen
12607,Fishermen
15721,Fishermen
28269,Fishermen
40273,Fishermen
27055,Fishermen
33017,Fishermen
32840,Fishermen
48108,Fishermen
6597,Fishermen
22171,Fishermen
27524,Fishermen
19934,Fishermen
6856,Fishermen
1366,Fishermen
42834,Fishermen
43333,Fishermen
27981,Fishermen
5011,Fishermen
43510,Fishermen
29349,Fishermen
32373,Fishermen
20841,Fishermen
29745,Fishermen
18824,Fishermen
10233,Fishermen
40260,Fishermen
46922,Fishermen
4974,Fishermen
28291,Fishermen
6692,Fishermen
45542,Fishermen
45898,Fishermen
37824,Fishermen
35848,Fishermen
47527,Fishermen
28851,Fishermen
35715,Fishermen
27664,Fishermen
37536,Fishermen
45587,Fishermen
38478,Fishermen
29584,Fishermen
47715,Fishermen
3674,Fishermen
12286,Fishermen
12614,Fishermen
3373,Fishermen
485,Fishermen
45730,Fishermen
23627,Fishermen
46718,Fishermen
31584,Fishermen
10647,Fishermen
29635,Fishermen
28355,Fishermen
25036,Fishermen
5979,Fishermen
38226,Fishermen
41132,Fishermen
18817,Fishermen
45015,Fishermen
4584,Fishermen
30221,Fishermen
6457,Fishermen
3490,Fishermen
12033,Fishermen
38294,Fishermen
47220,Fishermen
29784,Fishermen
20503,Fishermen
5434,Fishermen
45676,Fishermen
49249,Fishermen
32862,Fishermen
27266,Fishermen
39211,Fishermen
1488,Fishermen
19042,Fishermen
5503,Fishermen
7237,Fishermen
24741,Fishermen
41936,Fishermen
38479,Fishermen
27900,Fishermen
19760,Fishermen
17773,Fishermen
17073,Fishermen
36941,Fishermen
304,Fishermen
35137,Fishermen
16427,Fishermen
46026,Fishermen
4990,Fishermen
42199,Fishermen
498,Fishermen
26345,Fishermen
219,Fishermen
15128,Fishermen
43436,Fishermen
12274,Fishermen
3653,Fishermen
31517,Fishermen
49116,Fishermen
25220,Fishermen
25324,Fishermen
26730,Fishermen
27532,Fishermen
26945,Fishermen
20530,Fishermen
7898,Fishermen
12108,Fishermen
48316,Fishermen
46592,Fishermen
47072,Fishermen
211,Fishermen
40081,Fishermen
686,Fishermen
5647,Fishermen
5789,Fishermen
21371,Fishermen
4692,Fishermen
39915,Fishermen
22919,Fishermen
6078,Fishermen
15582,Fishermen
49723,Fishermen
30481,Fishermen
34913,Fishermen
16198,Fishermen
40279,Fishermen
24749,Fishermen
20741,Fishermen
1789,Fishermen
32939,Fishermen
38700,Fishermen
4133,Fishermen
39748,Fishermen
16989,Fishermen
21936,Fishermen
32971,Fishermen
49704,Fishermen
33747,Fishermen
